stimuli_images,face,demoReps.thisRepN,demoReps.thisTrialN,demoReps.thisN,demoReps.thisIndex,stimuli,demo_face,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction.started,instruction_resp.started,instruction_resp.keys,instruction_resp.rt,startDemo.started,demoInstruction.started,startDemo.stopped,demoFixation.started,demoInstruction.stopped,demoFixation.stopped,demoImage.started,demoResp.started,demoResp.keys,demoResp.rt,Feedback.started,Feedback.stopped,demoLoop.started,demoLoopResp.started,demoLoopResp.keys,demoLoopResp.rt,ExpInstruc.started,continueExp.started,continueExp.keys,continueExp.rt,fixation.started,expImg.started,exp_resp.started,fixation.stopped,expImg.stopped,exp_resp.stopped,exp_resp.keys,expFeedback.started,expFeedback.stopped,exp_resp.rt,goodbye.started,goodbye_resp.started,goodbye_resp.keys,goodbye_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
images/F - Bag 2.jpg,y,,,,,,,0,27,27,7,,,,,,,,,,,,,,,,,,,,,,,,,127.20060089998879,127.70014139999694,127.70014139999694,127.70014139999694,130.70002789999126,130.70002789999126,None,130.70002789999126,131.70002799999202,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Onion.jpg,n,,,,,,,0,28,28,17,,,,,,,,,,,,,,,,,,,,,,,,,131.70002799999202,132.2001656999928,132.2001656999928,132.2001656999928,135.2003684999945,135.2003684999945,None,135.2003684999945,136.2142809999932,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Tree.jpg,n,,,,,,,0,29,29,15,,,,,,,,,,,,,,,,,,,,,,,,,136.2142809999932,136.68207399999665,136.68207399999665,136.7171687999944,139.683315199989,139.683315199989,None,139.701986199987,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - Duck.png,y,,,,,,,0,30,30,25,,,,,,,,,,,,,,,,,,,,,,,,,140.73087419998774,141.2005277999997,141.2005277999997,141.23349989998678,144.20020559999102,144.20020559999102,None,144.20020559999102,145.20099939999636,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Bag.jpg,n,,,,,,,0,31,31,12,,,,,,,,,,,,,,,,,,,,,,,,,145.20099939999636,145.70055189999403,145.70055189999403,145.70055189999403,148.70014669999364,148.70014669999364,None,148.70014669999364,149.714536399988,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - girl 1.png,y,,,,,,,0,32,32,21,,,,,,,,,,,,,,,,,,,,,,,,,149.714536399988,150.20101299999806,150.20101299999806,150.2171696999867,153.2002458999923,153.2002458999923,None,153.2002458999923,154.2151038999873,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Elec-Plug.jpg,n,,,,,,,0,33,33,10,,,,,,,,,,,,,,,,,,,,,,,,,154.2151038999873,154.70085139998992,154.70085139998992,154.71809519999078,157.70329809999384,157.70329809999384,None,157.70329809999384,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Elec-Plug.jpg,y,,,,,,,0,34,34,2,,,,,,,,,,,,,,,,,,,,,,,,,158.73714899999322,159.20042289998673,159.20042289998673,159.25064849999035,162.20084579999093,162.20084579999093,None,162.20084579999093,163.2009498999978,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Mugs.jpg,n,,,,,,,0,35,35,16,,,,,,,,,,,,,,,,,,,,,,,,,163.2009498999978,163.68239649999305,163.68239649999305,163.71714039999642,166.68622719999985,166.68622719999985,None,166.7008305999916,167.715950599988,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - Panda.jpg,n,,,,,,,0,36,36,43,,,,,,,,,,,,,,,,,,,,,,,,,167.715950599988,168.20082859999093,168.20082859999093,168.2176926999964,171.2005508000002,171.2005508000002,None,171.2005508000002,172.20059290000063,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Tiang.jpg,y,,,,,,,0,37,37,5,,,,,,,,,,,,,,,,,,,,,,,,,172.20059290000063,172.68196949998674,172.68196949998674,172.71772699999565,175.68674949998967,175.68674949998967,None,175.68674949998967,176.69964469999832,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/NF - Vege.png,n,,,,,,,0,38,38,19,,,,,,,,,,,,,,,,,,,,,,,,,176.69964469999832,177.19999429999734,177.19999429999734,177.19999429999734,180.1999463999964,180.1999463999964,None,180.1999463999964,181.20100109999476,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/F - Mugs.jpg,y,,,,,,,0,39,39,3,,,,,,,,,,,,,,,,,,,,,,,,,181.20100109999476,181.68479379999917,181.68479379999917,181.70139379998727,184.68437069999345,184.68437069999345,None,184.70234379998874,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - knight.png,n,,,,,,,0,40,40,34,,,,,,,,,,,,,,,,,,,,,,,,,185.7321796999895,186.20081879998907,186.20081879998907,186.23475049999251,189.20038169999316,189.20038169999316,None,189.20038169999316,190.21944889999577,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - girl 2.png,y,,,,,,,0,41,41,22,,,,,,,,,,,,,,,,,,,,,,,,,190.21944889999577,190.70363389998965,190.70363389998965,190.71828899999673,,,None,193.71793199999956,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/AF - Otter.jpg,y,,,,,,,0,42,42,28,,,,,,,,,,,,,,,,,,,,,,,,,194.73204740000074,195.20122109999647,195.20122109999647,195.23442499998782,198.20059249999758,198.20059249999758,None,198.20059249999758,199.21798799998942,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
images/ANF - girl 2.png,n,,,,,,,0,43,43,41,,,,,,,,,,,,,,,,,,,,,,,,,199.21798799998942,199.70365999999922,199.70365999999922,199.7160692999896,,,None,202.71575489999668,,,,,,,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.71787349999067,203.71787349999067,y,3.8116464000195265,540650,001,2023-05-29_00h39.20.399,pareidolia,2023.1.2,59.46508775397142,
